DateKey,ProductKey,CustomerKey,SalesOrderNumber,Quantity,UnitPrice,UnitCost,DiscountPct,SalesAmount,TotalCost,Profit
20241002,1027,5031,SO37192,1,554.3,302.97,0.5,277.15,302.97,-25.82
20230208,1021,5004,SO14158,3,546.95,26.85,0.0,1640.85,80.55,1560.3
20230805,1010,5020,SO14621,4,96.6,309.81,0.5,193.2,1239.24,-1046.04
20241129,1042,5060,SO98861,1,205.23,162.38,0.0,205.23,162.38,42.85
20231018,1010,5050,SO18666,2,96.6,309.81,0.0,193.2,619.62,-426.42
20240222,1038,5041,SO84532,1,58.32,387.92,0.5,29.16,387.92,-358.76
20230316,1019,5005,SO67132,3,272.49,345.27,0.0,817.47,1035.81,-218.34
20230408,1018,5027,SO19516,1,72.14,159.26,0.15,61.32,159.26,-97.94
20230812,1035,5008,SO15776,4,131.25,388.4,0.0,525.0,1553.6,-1028.6
20240827,1031,5043,SO82099,3,223.7,416.08,0.0,671.1,1248.24,-577.14
20230907,1027,5038,SO41890,1,554.3,302.97,0.5,277.15,302.97,-25.82
20231014,1016,5083,SO86153,3,570.1,41.88,0.5,855.15,125.64,729.51
20240924,1030,5009,SO94416,2,173.74,200.45,0.1,312.73,400.9,-88.17
20230629,1007,5071,SO39300,1,122.29,99.09,0.1,110.06,99.09,10.97
20240524,1021,5019,SO58689,3,546.95,26.85,0.0,1640.85,80.55,1560.3
20240829,1005,5074,SO16397,3,582.4,20.09,0.0,1747.2,60.27,1686.93
20240921,1029,5027,SO91816,2,205.32,32.16,0.0,410.64,64.32,346.32
20230911,1012,5029,SO81906,2,474.33,233.47,0.0,948.66,466.94,481.72
20231109,1027,5086,SO14378,4,554.3,302.97,0.5,1108.6,1211.88,-103.28
20241009,1044,5005,SO31312,4,291.25,444.73,0.0,1165.0,1778.92,-613.92
20230712,1037,5010,SO35518,3,441.47,356.36,0.0,1324.41,1069.08,255.33
20240508,1010,5091,SO51627,1,96.6,309.81,0.0,96.6,309.81,-213.21
20241012,1032,5042,SO66547,4,332.48,147.66,0.0,1329.92,590.64,739.28
20240914,1023,5009,SO32601,4,319.24,162.74,0.0,1276.96,650.96,626.0
20240701,1005,5089,SO37127,2,582.4,20.09,0.0,1164.8,40.18,1124.62
20230122,1017,5044,SO56163,4,487.91,483.16,0.15,1658.89,1932.64,-273.75
20241124,1040,5062,SO77087,2,379.63,432.92,0.0,759.26,865.84,-106.58
20231204,1015,5086,SO53939,3,114.76,307.7,0.0,344.28,923.1,-578.82
20241104,1005,5088,SO87241,4,582.4,20.09,0.0,2329.6,80.36,2249.24
20240205,1013,5064,SO94178,3,315.83,107.84,0.0,947.49,323.52,623.97
20241012,1043,5065,SO22453,4,387.97,367.51,0.0,1551.88,1470.04,81.84
